rank,year,title,keyword,author.no,affl.no,max_dist(m)
1975,2002,Vegetation and climate characteristics of arid and semi-arid grasslands in North America and their biome transition zone,Annuals; Chihuahuan desert grasslands; Ecotone; Perennials; Regional analysis; Shortgrass steppe; Species area curve,4,4,3037465.63753731
1976,2008,Modeling the effects of historical vegetation change on near-surface atmosphere in the northern Chihuahuan Desert,Atmosphere-biosphere interactions; Energy fluxes; Jornada Experimental Range; Land-atmosphere interactions; Regional climate modeling simulations; Semiarid areas; Surface fluxes; Vegetation changes,5,2,3037465.63753731
1977,2001,Local and regional-scale responses of ant diversity to a semiarid biome transition,NA,2,2,3037465.63753731
1978,2014,"Soil animal responses to moisture availability are largely scale, not ecosystem dependent: Insight from a cross-site study",Climate change; Desert; Drought; Grassland; Mites; Nematodes,6,5,3037465.63753731
1979,1999,"Evolution of CO2 and soil carbon dynamics in biologically managed, row-crop agroecosystems",Agroecosystem; Carbon; CO2; Mineralization; Nitrogen; Soil Organic fractions; Sustainable agriculture,5,4,3035198.24274746
1980,1996,Phosphorus loads to surface waters: a simple model to account for spatial pattern of land use,Export coefficients; Flux coefficients; Lake Mendota; Land use; Nonpoint source; Phosphorus loading; Riparian; Water quality modeling; Watershed; Wisconsin,4,4,3030210.24548724
1981,2004,Evaluating empirical scaling relations of pattern metrics with simulated landscapes,NA,4,4,3015432.57608897
1982,2009,Post-fire resource redistribution and fertility island dynamics in shrub encroached desert grasslands: a modeling approach,Desertification; Fires; Land degradation; Shrub encroachment; Soil erosion,2,2,3010965.16388417
1983,2010,Interactions Between Soil Erosion Processes and Fires: Implications for the Dynamics of Fertility Islands,Land degradation; Resilience; Shrub encroachment; Thresholds,4,3,3010965.16388417
1984,2011,"Resilience, restoration and riparian ecosystems: Case study of a dryland, urban river",Resilience; Riparian; Seed bank; Urbanization; Vegetation,2,2,3009913.23748914
1985,2002,Remote sensing documentation of historic rangeland remediation treatments in southern New Mexico,Aerial photography; New Mexico; Rangeland remediation; Remote sensing; Shrub removal; Water spreading,9,4,3007553.12989621
1986,2003,Seasonal changes in nitrification potential associated with application of N fertilizer and compost in maize systems of southwest Michigan,Compost; Cover crops; Crop rotations; Michigan; N mineralization; Nitrification potential; Plant biomass to plant N content (PB:N),5,4,2994108.57647803
1987,2006,Tree harvest in an experimental sand ecosystem: Plant effects on nutrient dynamics and solute generation,Biocycling; Calcium; Ecosystem disturbance; Ecosystem regulation; Mesocosm; Nutrient cycling; Potassium,6,6,2989379.68509877
1988,2008,Plant succession on gopher mounds in western Cascade meadows: consequences for species diversity and heterogeneity,NA,3,3,2959787.11391072
1989,2005,"Desert grassland canopy arthropod species richness; temporal patterns and effects of intense, short-duration livestock grazing",Arthropods; Desert; Insects; Livestock grazing; Shrub-removal; Species richness,4,3,2957266.7027481
1990,2010,A flexible online metadata editing and management system,EML; Metadata editor; Orbeon; XForms; XML schema parser; XQuery,5,3,2953301.57615448
1991,2006,Genetic divergence and migration patterns in a North American passerine bird: implications for evolution and conservation,Dendroica; ESU; Migration; Mitochondrial DNA; Phylogeography; Population differentiation,5,2,2936690.97000562
1992,2008,Soil fertility increases with plant species diversity in a long-term biodiversity experiment,Cedar Creek; Legume; Sampling effect,5,6,2932225.18289789
1993,2012,Invasion of shrublands by exotic grasses: Ecohydrological consequences in cold versus warm deserts,Invasive species; Land-cover change; Rangelands; Water budgets,11,10,2922589.22185473
1994,2001,Frankia and nodulation of red alder and snowbrush grown on soils from Douglas-fir forests in the H.J. Andrews Experimental Forest of Oregon,Actinorhizal plants; Frankia; Nitrogen fixation,4,4,2910746.11835877
1995,2002,"Interactions among soil biology, nutrition, and performance of actinorhizal plant species in the H.J. Andrews Experimental Forest of Oregon",Actinorhizal plants; Frankia; Nitrogen fixation; Red alder; Snowbrush,4,4,2910746.11835877
1996,2005,Community response to removals of plant functional groups and species from a Chihuahuan Desert shrubland,NA,3,3,2907457.75120606
1997,2004,The impact of a prescribed burn on introduced Lehmann lovegrass versus native vegetation in the northern Chihuahuan Desert,Chihuahuan Desert; Desert grasslands; Invasive species; Lehmann lovegrass; Prescribed fire,2,3,2907457.75120606
1998,1998,Statistical analysis of population dynamics in space and time using estimating functions,Density dependence; Dispersal; Estimating functions; Gypsy moth; Logistic growth; Lymantria dispar L.; Spatially explicit models,3,3,2893899.81351357
1999,2004,Recent climate warming forces contrasting growth responses of white spruce at treeline in Alaska through temperature thresholds,Alaska; Carbon uptake; Climate change; Cluster analysis; Dendrochronology; Threshold effects; Treeline; White spruce,4,2,2892944.37618148
2000,2009,Host species and habitat affect nodulation by specific Frankia genotypes in two species of Alnus in interior Alaska,Actinorhizal; Boreal; Distribution; Nitrogen fixation; Symbiosis,4,2,2892944.37618148
2001,2003,"Composition, complexity, and tree mortality in riparian forests in the central western Cascades of Oregon",Flood effects; Large wood in streams; Riparian forests; Tree mortality; Unconstrained stream reach,6,6,2892944.37618148
2002,2000,Long-term impacts of agriculture on soil carbon and nitrogen in New England forests,Carbon; Cultivation; Land-use history; Light fraction; Nitrification; Nitrogen mineralization; Organic matter; Pastures; Phosphorus; Reforestation; Vegetation effects; Woodlots; δ15N natural abundance,2,3,2892944.37618148
2003,2015,Integrating ecophysiology and forest landscape models to improve projections of drought effects under climate change,Climate change; Competition for light; Drought; Forest landscape disturbance and succession model; LANDIS-II; Piñon-juniper ecosystem; PnET-Succession; Tree mortality; Water stress,9,4,2869734.19569978
2004,2009,Predator-prey interactions in river networks: Comparing shrimp spatial refugia in two drainage basins,Atyid shrimp; Drainage network position; Fish predation; Predator-avoidance; Waterfall barriers,5,5,2852477.32450441
2005,2010,Spatial and temporal patterns of water availability in a grass-shrub ecotone and implications for grassland recovery in arid environments,Available water; Bouteloua; Chihuahuan desert; Desertification; Petrocalcic; Prosopis; Soil water,3,2,2847799.20479495
2006,2013,Diel patterns of autotrophic and heterotrophic respiration among phenological stages,Autotrophic; Diel patterns; Heterotrophic; Phenology; Soil respiration; Temperate,3,2,2845930.12619812
2007,2015,Ecosystem resistance in the face of climate change: A case study from the freshwater marshes of the Florida Everglades,Climate change; CO<inf>2</inf> exchange rates; DAYCENT; Ecosystem resistance; Eddy covariance; Florida Everglades,9,5,2827130.87293054
2008,2016,Sensitivity to Low-Temperature Events: Implications for CO2 Dynamics in Subtropical Coastal Ecosystems,ARIMA models; CO2 fluxes; Ecosystem sensitivity; Eddy covariance; Everglades National Park; Low-temperature events,7,5,2827130.87293054
2009,2001,The effectiveness of mate guarding by male Black-throated Blue Warblers,Black-throated blue warbler; Breeding synchrony; Extrapair paternity; Mate guarding; Microsatellites; Time conflicts,3,4,2817547.65558335
2010,2007,Life-Cycle Assessment of Net Greenhouse-Gas Flux for Bioenergy Cropping Systems,Biofuel; Carbon sequestration; Greenhouse gas (GHG); Life-cycle assessment; Nitrous oxide,3,3,2816182.52965869
2011,2013,Environmental controls over bacterial communities in polar desert soils,Antarctic Dry Valleys; Biogeography; Environmental gradients; Microbial ecology; Productivity/diversity theory,6,4,2816182.52965869
2012,2012,"Demography of Greater Prairie-Chickens: regional variation in vital rates, sensitivity values, and population dynamics",contributions; elasticity; land use and land cover change (LULCC); Leslie matrix; life-table response experiment (LTRE); population viability; prospective analysis; variance-scaled sensitivities,4,3,2815095.07227547
2013,2002,Empirical patterns of the effects of changing scale on landscape metrics,Anisotropy; Extent; Grain; Landscape metric scalograms; Landscape pattern analysis; Scale effect,4,4,2801744.47188528
2014,2014,Characterization of Growing Bacterial Populations in McMurdo Dry Valley Soils through Stable Isotope Probing with 18O-water.,McMurdo Dry Valley; Soil bacterial diversity; Stable isotope probing,7,5,2794610.06876197
2015,2001,"Relationships between land use, spatial scale and stream macroinvertebrate communities",Geographical information system; Land use; Macroinvertebrates; Riparian corridor; Temperature,3,2,2794610.06876197
2016,2006,Nitrogen saturation in stream ecosystems,Michaelis-Menten; Nitrate; Nitrogen spiraling; Nitrogen uptake; Saturation; Stable isotope; Streams,3,2,2794610.06876197
2017,2016,Leaf litter decomposition is rapidly enhanced by the co-occurrence of monsoon rainfall and soil-litter mixing across a gradient of coppice dune development in the Chihuahuan Desert,Biogeochemical cycling; Carbon cycling; Nutrient cycling; Photodegradation; Prosopis; Shrub encroachment,2,2,2792733.27950527
2018,2014,Ecohydrology with unmanned aerial vehicles,Ecology; Environmental sensor network; Hydrology; Remote sensing; Robotics; Scaling; Unmanned aircraft systems,7,3,2792733.27950527
2019,2014,Differential sensitivities of grassland structural components to changes in precipitation mediate productivity response in a desert ecosystem,Axillary buds; Bouteloua eriopoda; Desert grassland; Meristem bank; Precipitation legacies; Vegetative reproduction,2,4,2792733.27950527
2020,2013,Water controls on nitrogen transformations and stocks in an arid ecosystem,Arid ecosystems; Chihuahuan Desert; Net N mineralization; Nitrogen leaching; Nitrogen-water interactions; Soil inorganic N,3,4,2792733.27950527
2021,2013,Precipitation legacies in desert grassland primary production occur through previous-year tiller density,Aboveground net primary production; Chihuahuan Desert; Desert grasslands; Precipitation legacies; Rainfall manipulation; Tiller dynamics,3,4,2792733.27950527
2022,2012,Response of dominant grass and shrub species to water manipulation: an ecophysiological basis for shrub invasion in a Chihuahuan Desert Grassland,Drought; Photosynthesis; Precipitation manipulation; Water potential; Woody encroachment,4,3,2792733.27950527
2023,1999,Seasonal partitioning of nitrogen by plants and soil microorganisms in an alpine ecosystem,"Alpine; Nitrogen assimilation; Nitrogen availability; Nitrogen competition; Nitrogen immobilization; Nitrogen mineralization; Nitrogen partitioning; Niwot Ridge, Colorado; Plant-microbe competition; Soil microorganisms",4,2,2775507.04291846
2024,2015,Spatial patterns in oxygen and redox sensitive biogeochemistry in tropical forest soils,Iron reduction; Puerto Rico; Soil phosphorus; Soil redox; Spatial heterogeneity,3,2,2775507.04291846
2025,2014,"Pathogens, herbivores, and phenotypic plasticity of boreal Vaccinium vitis-idaea experiencing climate change",Alaska; Climate change; Exobasidium vaccinii; Global warming; Herbivory; Lingonberry; Local adaptation; Phenolic; Phomopsis columnaris; Plasticity; Reciprocal transplant; Vaccinium vitis-idaea,2,2,2772455.95932042
2026,2006,Woody plant invasion at a semi-arid/arid transition zone: importance of ecosystem type to colonization and patch expansion,Biome transition; Chihuahuan Desert; Ecotone; Invasive species; Patch dynamics; Patch structure; Shortgrass steppe,3,3,2771837.16665081
2027,2010,Consumer return chronology alters recovery trajectory of stream ecosystem structure and function following drought,Disturbance; Functional group; Grazer; Kansas; Konza prairie biological station; Nonequilibrium; Succession; USA,5,4,2765520.47347342
2028,1999,Plant neighborhood diversity and production,Biodiversity; Community; Functional-group richness; Plant ecology; Plant neighborhood; Species richness,5,3,2761251.4058201
2029,2018,Global change and the importance of fire for the ecology and evolution of insects,NA,7,5,2757369.79249072
2030,2006,Context-dependence of long-term responses of terrestrial gastropod populations to large-scale disturbance,Hurricane; Land snails; Population dynamics; Puerto Rico,2,2,2749947.37057895
2031,2000,"Role of light availability and dispersal in exotic plant invasion along roads and streams in the H.J. Andrews Experimental Forest, Oregon",NA,2,2,2743661.26786986
2032,2014,"Boundary effects on benthic microbial phosphorus concentrations and diatom beta diversity in a hydrologically-modified, nutrient-limited wetland",Beta diversity; Diatoms; Everglades; Hydrology; Periphyton; Wetlands,5,2,2724370.85198776
2033,2013,Vegetation-microclimate feedbacks in woodland-grassland ecotones,Alternative stable states; Ecosystem engineering; Mangrove-marsh transition; Shrub encroachment; Tree line; Vegetation-microclimate feedback; Woodland-grassland ecotone,6,5,2723927.36352548
2034,2014,The role of pre-event canopy storage in throughfall and stemflow by using isotopic tracers,Canopy storage; Rainfall interception; Spatial heterogeneity; Stable isotope tracers; Temporal stability,5,4,2723090.22866236
2035,2016,Microclimate predicts within-season distribution dynamics of montane forest birds,dynamic occupancy models; forest bird distributions; forest structure and composition; microclimate; mountains; within-season movements,3,2,2714422.31041072
2036,2011,Modeling impacts of fire severity on successional trajectories and future fire behavior in Alaskan boreal forests,ALFRESCO; Black spruce; Boreal forest; Climate change; Disturbance; Fire regime; Forest regeneration; Picea mariana; Simulation model,4,3,2711026.74941263
2037,2013,Effects of fire severity on plant nutrient uptake reinforce alternate pathways of succession in boreal forests,Boreal forest; Fire severity; Plant nitrogen uptake; Soil nitrogen; Succession,3,2,2711026.74941263
2038,2014,Climate sensitivity of reproduction in a mast-seeding boreal conifer across its distributional range from lowland to treeline forests,Alaska; Bayesian models; Denali; Picea glauca; Reproductive ecology,3,3,2711026.74941263
2039,2016,Absence of net long-term successional facilitation by alder in a boreal Alaska floodplain,Alaska; Alder; Boreal forest; Competition; Facilitation; Floodplain; Nitrogen fixation; Primary succession; Structural equation modeling,5,3,2711026.74941263
2040,2012,When bulk density methods matter: Implications for estimating soil organic carbon pools in rocky soils,Carbon accounting; Carbon pools; Core method; Soil carbon,4,4,2706062.06889814
2041,2008,Decline in a dominant invertebrate species contributes to altered carbon cycling in a low-diversity soil ecosystem,Antarctica; Carbon cycling; Climate change; McMurdo Dry Valleys; Nematode; Soil biodiversity,4,4,2705113.67737357
2042,2009,"Terrestrial mesofauna in above- and below-ground habitats: Taylor Valley, Antarctica",Aquatic-terrestrial interface; Climate change; Critical transition zones; Habitat preference; Nematodes; Rotifers; Soil biodiversity; Tardigrades,6,5,2705113.67737357
2043,2018,Observed trends of soil fauna in the Antarctic Dry Valleys: early signs of shifts predicted under climate change,Antarctica; desert; global change; invertebrates; long-term; McMurdo Dry Valleys; nematodes; polar regions; soil moisture; structural equation model,5,4,2705113.67737357
2044,2018,"Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore–predator in Taylor Valley, Antarctica",Connectivity; Dry Valleys; Feeding ecology; Isotopic fractionation; Predator; Trophic levels,6,5,2705113.67737357
2045,1999,"Patterns of woody plant abundance, recruitment, mortality, and growth in a 65 year chronosequence of old-fields",Initial floristic; Relay floristics; Resource-competition; Succession,4,2,2699534.89928251
2046,1989,Temperature Dependence of Inorganic Nitrogen Uptake and Assimilation in Antarctic Sea-Ice Microalgae,NA,4,3,2695075.65819264
2047,2005,Recovery of a tropical stream after a harvest-related chlorine poisoning event,Decapoda; Macroinvertebrates; Puerto Rico; Pulse disturbance; Shrimps; Toxic release,3,3,2673399.80232324
2048,2003,"Food web structure and basal resource utilization along a tropical island stream continuum, Puerto Rico",Caribbean; Decapoda; Greater Antilles; Lotic; Prawn; Puerto Rico; Rain forest; RCC; River; Species interactions,2,2,2673399.80232324
2049,2000,Biological indices of soil quality; an ecosystem case study of their use,Carbon availability; Forest floor; Litter decomposition; Nitrogen availability; Site productivity; Site quality; Soil chemistry; Soil fauna,4,3,2668850.35773682
2050,2004,"Fine root dynamics along an elevational gradient in the southern Appalachian mountains, USA",Fine root dynamics; Fine root production; Gradient analysis; Minirhizotrons; Southern Appalachia; Temperature gradients,4,4,2668850.35773682
2051,2006,Do small-scale exclosure/enclosure experiments predict the effects of large-scale extirpation of freshwater migratory fauna?,Freshwater shrimps; Puerto Rico; Spatial scales; Temporal scales; Tropical stream,3,3,2668850.35773682
2052,1996,Effects of mobile tree islands on soil carbon storage in tundra ecosystems,NA,2,2,2658559.47013847
2053,2008,Novel Weapons: Invasive Plant Suppresses Fungal Mutualists in America but not in its Native Europe,Allelopathy; Anti-fungal compounds; Arbuscular mycorrhizae; Biochemistry; Biogeographical comparisons; Exotic invasion; Fungi; Indirect interactions; Novel weapons,8,7,2655209.89209686
2054,2004,Decomposition of Greenfall vs. Senescent Foliage in a tropical Forest ecosystem in Puerto Rico.,Cecropia schreberiana; Dacryodes excelsa; Decomposition; Greenfall; Guarea guidonia; Herbivory; Hurricane; Litterfall; Manilkara bidentata; Puerto Rico,2,4,2651272.76283072
2055,2005,The influence of a neotropical herbivore (Lamponius portoricensis) on nutrient cycling and soil processes.,Decomposition; Herbivory; Insects; Piper glabrescens; Puerto Rico,2,4,2651272.76283072
2056,2004,"Dynamics of carbon stocks in soils and detritus across chronosequences of different forest types in the Pacific Northwest, USA",Carbon stock; Chronosequence; Climate; Disturbances; Forest ecosystem; Soil carbon,4,2,2641467.94477664
2057,2013,Soil-litter mixing accelerates decomposition in a Chihuahuan Desert grassland,arid; carbon cycle; dryland; dust; erosion; livestock grazing; phospholipid fatty acids; Prosopis; shrub encroachment,5,4,2637002.56446862
2058,2012,Soil coverage reduces photodegradation and promotes the development of soil-microbial films on dryland leaf litter,carbon cycle; decomposition; dryland; mesquite; photodegradation; Prosopis; soil erosion; soil-litter mixing; ultraviolet radiation,5,4,2637002.56446862
2059,2006,Adding infection to injury: synergistic effects of predation and parasitism on amphibian malformations,Ambystoma macrodactylum; Amphibian limb abnormalities; Deformities; Disease; Long-toed salamander; Malformations; Parasitism; Predation; Ribeiroia cercariae; Ribeiroia ondatrae; Synergism; Trematode infection,6,3,2634492.7799018
2060,2015,Using an intervention framework to value salient ecosystem services in a stated preference experiment,Contingent valuation; Ecosystem services; Fish habitat; Invasive species; Stated preferences,3,3,2634492.7799018
2061,2004,Feedback between individual host selection behavior and population dynamics in an eruptive herbivore,Allee effect; Bark beetle; Bimodal equilibria; Dendroctonus rufipennis; Density dependence; Eruptive species; Heritability; Host selection; Insect herbivore; Monoterpenes; Population dynamics; Spruce,2,2,2634492.7799018
2062,2003,Modeling multiscale effects of light limitations and edge-induced mortality on carbon stores in forest landscapes,Additive model; Carbon; Disturbance; Emergent behaviors; Forest edges; Horizontal interactions; Light; Models; Scale; Spatial pattern; Wind,3,2,2634492.7799018
2063,2005,Conifer invasion of forest meadows transforms soil characteristics in the Pacific Northwest,Forest meadow; Oregon Cascade Mountains; Soil biogeochemistry; Tree invasion,3,3,2634492.7799018
2064,2007,Changing temporal patterns of forest carbon stores and net ecosystem carbon balance: the stand to landscape transformation,Carbon; Disturbance; Fire; Harvest; Landscape; Model; NECB; NPP,3,3,2634492.7799018
2065,2009,The effects of topography on forest soil characteristics in the Oregon Cascade Mountains (USA): implications for the effects of climate change on soil properties,Climate change; Coniferous forest; Elevation and aspect effects on forest soils; H.J. Andrews Experimental Forest,3,3,2634492.7799018
2066,1994,Effects of fern thickets on woodland development on landslides in Puerto Rico,Allelopathy; Competition; Dicranopteris linearis; Rain forest; Seed germination; Soil nutrient; Succession; Tabebuia heterophylla.,1,1,2618814.99704515
2067,1996,Burrows of kangaroo rats are hotspots for desert soil fungi,Burrows; Desert; Fungi; Kangaroo rats,1,2,2615231.64630899
2068,2014,"Gastric nematode diversity between estuarine and inland freshwater populations of the American alligator (Alligator mississippiensis ,daudin 1802), and the prediction of intermediate hosts",Alligator mississippiensis; Ascarididae; Florida; Georgia; Intermediate hosts; Stomach flushing,2,2,2614464.55119653
2069,2010,A sensitive slope: estimating landscape patterns of forest resilience in a changing climate,Age structure; Dendrochronology; Equivalent latitude; Fire; Forest regeneration; Landscape ecology; Seed dispersal; Slope aspect; Topography; Yukon,5,5,2608883.60196177
2070,2001,Spatial heterogeneity in Chihuahuan Desert vegetation: implications for sampling methods in semi-arid ecosystems,Bouteloua eriopoda; Chihuahuan Desert; Jornada LTER program; Larrea tridentata; Net primary productivity; Prosopis glandulosa; Semi-arid ecosystems; Spatial heterogeneity,3,3,2594197.67455554
2071,2005,Food limits annual fecundity of a migratory songbird: an experimental study,Black-throated Blue Warbler; Dendroica caerulescens; Double brooding; Food limitation; Food supplementation; Foraging behavior; Hubbard Brook Experimental Forest; Multiple brooding; Neotropical migrant bird; Population limitation,2,2,2589800.64579229
2072,2006,Linking direct and indirect data on dispersal: Isolation by slope in a headwater stream salamander,Amphibian; Amplified fragment length polymorphism; Behavior; Dispersal; Evolution; Gene flow; Gyrinophilus porphyriticus; Headwater streams; Hubbard Brook; Movement; Plethodontidae; Salamander,4,3,2574163.8303631
2073,2011,Antarctic nematode communities: observed and predicted responses to climate change,Antarctica; Climate change; Community composition; Diversity; Nematode; Precipitation; Soil; Temperature,4,3,2551564.77667984
2074,1992,Interactions between the fractal geometry of landscapes and allometric herbivory,NA,4,4,2541629.80690012
2075,1991,Simulation model for the effects of climate change on temperate grassland ecosystems,NA,10,4,2540527.81212632
2076,1988,Establishment of four Salicaceae species on river bars in interior Alaska,NA,3,3,2534213.61052256
2077,2014,Permafrost degradation stimulates carbon loss from experimentally warmed tundra,Alaska; Arctic tundra; Carbon; Climate change; Eight Mile Lake; Net ecosystem exchange; Permafrost; USA,5,2,2516556.54190018
2078,2013,Altered precipitation regime affects the function and composition of soil microbial communities on multiple time scales,Microbial activity; Microbial C use efficiency; Microbial ecology; Precipitation timing; Soil biomass; Soil C storage; Soil respiration; Soil water,9,5,2504047.9769999
2079,2006,Spruce beetles and forest ecosystems in south-central Alaska: a review of 30 years of research,Alaska; Control; Dendroctonus rufipennis; Natural disturbance; Semiochemicals; Silviculture; Spruce beetle; Wildlife,4,4,2504047.9769999
2080,2017,Moving toward sustainable farming systems: Insights from private and public sector dialogues on nitrogen management,NA,7,4,2485717.47929429
2081,2018,Soil water dynamics at 15 locations distributed across a desert landscape: insights from a 27-yr dataset,Chihuahuan Desert; coppice dunes; critical zone; deep recharge; desertification; ecohydrology; grassland; landscape context; neutron moisture meter; shrubland; soil water; Special Feature: Dynamic Deserts; vadose zone,6,3,2483983.37777713
2082,2011,Estimating abundance of Sitka black-tailed deer using DNA from fecal pellets,abundance; Alaska; density; DNA; fecal pellets; forest; logging; mark-recapture; Odocoileus hemionus sitkensis; Sitka black-tailed deer,5,3,2481951.10493005
2083,2009,Variation in ecosystem function in Appalachian streams along an acidity gradient,Acid precipitation; Bacteria; Decomposition; Ecosystem function; Fungi; George Washington National Forest; Leaf breakdown; Liming; Microbial diversity; Stream restoration; USA; Virginia,3,3,2478352.39439406
2084,2012,Mapping the niche space of soil microorganisms using taxonomy and traits,Bacteria; Biodiversity; Cultivation; Desiccation; Environmental filtering; Fungi; Neutral theory of biodiversity; Phylogeny; Respiration; Soil; Sorting; Traits-based ecology,4,5,2476292.71505902
2085,2015,Turnover and reliability of flower communities in extreme environments: Insights from long-term phenology data sets,Community ecology; Desert ecology; Flowering phenology; Pollinators; Turnover rates,5,5,2474456.85475057
2086,1998,The trophic significance of bacteria in a detritus-based stream food web,"Bacteria; Bacterivory; Coweeta Hydrologic Laboratory, North Carolina; Detritivory; Dissolved organic carbon; Exopolymers; Food webs; Macroinvertebrates; Microbial loop; Streams; δ13C",2,2,2447874.61333744
2087,2015,Occupancy models for data with false positive and false negative errors and heterogeneity across sites and surveys,Confirmed detection; Detection probability; Hierarchical Bayesian model; Imperfect detection; Informative prior; Monte Carlo simulation; Observation; Occupancy model; Phantom species; Scenario,3,2,2447874.61333744
2088,2003,"Land use, scale, and bird distributions in the Phoenix metropolitan area",Habitat selection; Land use; Scale; Urban birds,2,2,2442277.63227848
2089,1994,The Advantage of Long-Distance Clonal Spreading in Highly Disturbed Habitats,barrier island; disturbance; grazing; life history; long-distance clonal spreading; overwash; short-grass steppe; spatial simulation model,4,3,2440918.6959001
2090,2006,On the variability of respiration in terrestrial ecosystems: moving beyond Q10,Arrhenius function; Carbon cycle; CO2; Decomposition; Plant respiration; Soil carbon; Soil respiration,3,3,2430026.28200285
2091,2018,"Linking gene regulation, physiology, and plant biomass allocation in Andropogon gerardii in response to drought",Adaptation; Drought recovery; Microevolution; Phenotypic plasticity; QRT-PCR; Severe drought,3,2,2427200.22661765
2092,2007,"Stoichiometric response of nitrogen-fixing and non-fixing dicots to manipulations of CO2, nitrogen, and diversity",BioCON; Ecological stoichiometry; Elevated CO2; Nitrogen enrichment; Species richness,7,4,2424853.4215652
2093,2016,Iron-bound organic carbon in forest soils: quantification and characterization,NA,7,5,2403975.01351518
2094,2013,Modeling foundation species in food webs,Food web modeling; Foundation species; Metabolic rate; Network; Non-linear dynamics,3,3,2392166.4638595
2095,1999,Forest response to catastrophic wind: results from an experimental hurricane,"Blowdown, simulated; Forest composition and structure; Forest dynamics, long term; Hurricanes; New England; Regeneration; Salvage logging; Temperate forests; Wind disturbance",4,3,2389481.7861728
2096,2004,The role of species abundance in determining breeding origins of migratory birds with stable isotopes,Bayes Rule; Black-throated Blue Warbler; Breeding origins; Connectivity; Dendroica caerulescens; Likelihood assignment; Migratory birds; Relative abundance; Species abundance; Stable isotopes,2,2,2389455.11193253
2097,2017,Boom-bust economics and vegetation dynamics in a desert city: How strong is the link?,Biodiversity; Cities; Disturbance; Economic disruption; Plant communities; Precipitation; Recession; Social-ecological systems; Urbanization,4,5,2382180.74786536
2098,2006,Diffusion and home range parameters for rodents: Peromyscus maniculatus in New Mexico,Animal diffusion; Hantavirus; Home range; Peromyscus; Rodents,7,3,2382166.60080247
2099,2003,"Ground dwelling beetles and forest vegetation change over a 17-year-period, in western Oregon, USA",Beetle; Forest management; Insect communities; Succession,3,2,2374301.32613221
2100,2009,"Changes in vegetation in northern Alaska under scenarios of climate change, 2003-2100: Implications for climate feedbacks",Arctic; Biogeochemistry model; Boreal; Climate feedbacks; Dynamic vegetation model; Future climate; Plant functional type; Soil thermal model; Terrestrial ecosystems,5,3,2357404.91239687
2101,2012,The coastal boundary layer: predictable current structure decreases alongshore transport and alters scales of dispersal,Coastal flow; Dispersal; Eddy diffusivity; Inner shelf; Larval transport; Nearshore oceanography; Open versus closed populations; Self-recruitment; Self-replenishment,3,4,2355792.64457382
2102,2013,Spatial heterogeneity in habitat selection: nest site selection by Greater Prairie-Chickens,geographically weighted regression (GWR); greater prairie-chicken; habitat selection; nest site selection; resource selection function (RSF); Tympanuchus cupido,3,3,2349693.08624219
2103,2008,"White spruce meets black spruce: Dispersal, postfire establishment, and growth in a warming climate",Bayesian analysis; Black spruce; Detrended correspondence analysis; Fire severity; Longdistance dispersed; Negative binomial; Organic layer; Pecruitment; Permafrost; Spruce seedling identification; Survival; White spruce,5,3,2340082.26818822
2104,2012,Efficiency through proximity: Changes in phosphorus cycling at the urban-agricultural interface of a rapidly urbanizing desert region,Biosolids; Industrial ecology; Manure; Phoenix; Sustainability; Urban ecology,3,2,2335576.78252739
2105,2004,Seasonal and interannual variation of bacterial production in lowland rivers of the Orinoco basin,Bacterial production; El Niño Southern Oscillation; Orinoco; Tropical rivers; Venezuela,4,4,2324100.94134589
2106,2004,"Resilience, adaptability and transformability in social-ecological systems.",Adaptability; Adaptive cycles; Alternate states; Dynamics; Regime shift; Resilience; Social-ecological; Stability; Systems; Thresholds; Transformability; Transformation,4,3,2321270.49351187
2107,2014,Characterizing air pollution patterns on multiple time scales in urban areas: A landscape ecological approach,Air pollution; Monitoring network; Ozone; Phoenix metropolitan region; PM10; Scale effects; Spatial pattern of air pollutants,2,3,2320725.42253749
2108,2015,Urban heat island mitigation strategies and lizard thermal ecology: Landscaping can quadruple potential activity time in an arid city,Body temperature; Ectotherms; Landscaping; Lizards; Reptiles; Thermal ecology; Urban heat island,6,3,2320725.42253749
2109,2015,Rich lizards: How affluence and land cover influence the diversity and abundance of desert reptiles persisting in an urban landscape,Ecology; Land-cover; Landscape; Lizards; Mitigation; Reptiles; Urban; Urban heat island,5,4,2320725.42253749
2110,2010,European buckthorn and Asian soybean aphid as components of an extensive invasional meltdown in North America,Agonum muelleri; Aphelinus certus; Aphis glycines; Binodoxys communis; Bipalium adventitium; Harmonia axyridis; Invasional meltdown; Lumbricus terrestris; Puccinia coronata; Rhamnus cathartica; Sturnus vulgaris,8,5,2320199.13303618
2111,1997,"The manipulation of plant toxins by a food-hoarding herbivore, Ochotona princeps",Bacterial inhibition; Decomposition; Ochotona princeps; Phenolics; Pikas; Plant-herbivore interactions; Toxin manipulation,1,2,2307051.0024534
2112,1999,Response of the shortgrass steppe to changes in rainfall seasonality,C3 and C4 photosynthetic pathways; Grasslands; Modeling; Net N mineralization; Net primary production; Phenology; Plant functional types; Precipitation seasonality; Shortgrass steppe; Soil organic matter,3,5,2303523.95277431
